unnamed:_0,make,make_year,color,body_type,mileage_run,no_of_owners,seating_capacity,fuel_type,transmission,transmission_type,price
708,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Automatic,3318
709,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Automatic,3318
710,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Manual,3318
711,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Manual,3318
712,Maruti Suzuki,2018,blue,hatchback,16373,1st,5,petrol,5-Speed,Manual,8360
713,Maruti Suzuki,2016,red,sedan,31207,1st,5,petrol,4-Speed,Automatic,8924
714,Ford,2019,white,suv,60197,1st,5,petrol,6-Speed,Automatic,11807
715,Honda,2013,red,sedan,73382,1st,5,petrol,5-Speed,Manual,6879
716,Maruti Suzuki,2016,blue,hatchback,62811,1st,5,petrol,5-Speed,Manual,6657
717,Hyundai,2018,silver,crossover,29086,1st,5,petrol,5-Speed,Automatic,10156
718,Renault,2018,red,hatchback,12582,1st,5,petrol,5-Speed,Manual,4939
719,Hyundai,2017,white,hatchback,40158,1st,5,petrol,5-Speed,Manual,5144
720,Hyundai,2013,bronze,hatchback,50665,1st,5,petrol,5-Speed,Manual,5831
721,Hyundai,2013,white,sedan,42283,1st,5,petrol,5-Speed,Automatic,7493
722,Maruti Suzuki,2017,silver,hatchback,79767,1st,5,petrol,5-Speed,Automatic,4586
723,Maruti Suzuki,2018,blue,sedan,48524,1st,5,petrol,5-Speed,Manual,8804
724,Maruti Suzuki,2021,silver,hatchback,4704,1st,5,petrol,5-Speed,Manual,5953
725,Maruti Suzuki,2016,red,hatchback,44272,1st,5,petrol,5-Speed,Automatic,5692
726,Hyundai,2018,grey,sedan,14197,1st,5,petrol,5-Speed,Manual,8542
727,Hyundai,2017,blue,hatchback,57359,1st,5,petrol,5-Speed,Manual,8963
728,Honda,2019,brown,sedan,13791,1st,5,petrol,5-Speed,Manual,11831
729,Maruti Suzuki,2016,yellow,suv,76060,1st,5,diesel,5-Speed,Automatic,9553
730,Tata,2021,white,hatchback,5389,1st,5,petrol,5-Speed,Manual,9043
731,Mahindra,2015,black,suv,64338,1st,7,diesel,5-Speed,Manual,9932
732,Honda,2019,brown,sedan,17691,1st,5,petrol,5-Speed,Manual,10602
733,Tata,2022,white,suv,19734,1st,5,petrol,5-Speed,Automatic,9444
734,Hyundai,2017,silver,hatchback,16150,1st,5,petrol,5-Speed,Automatic,7156
735,Hyundai,2021,silver,sedan,21557,1st,5,petrol,6-Speed,Automatic,16457
736,Toyota,2020,white,hatchback,30130,1st,5,petrol,5-Speed,Manual,10403
737,Toyota,2020,white,hatchback,30130,1st,5,petrol,5-Speed,Manual,10403
738,Toyota,2020,white,hatchback,30130,1st,5,petrol,5-Speed,Manual,10403
739,Toyota,2020,white,hatchback,30130,1st,5,petrol,5-Speed,Manual,10403
740,Maruti Suzuki,2019,blue,hatchback,24618,1st,5,petrol,5-Speed,Manual,7785
741,Maruti Suzuki,2020,blue,hatchback,4337,1st,5,petrol,5-Speed,Manual,8121
742,Maruti Suzuki,2015,red,hatchback,74114,2nd,5,petrol,5-Speed,Manual,3469
743,Hyundai,2016,white,suv,52631,3rd,5,petrol,6-Speed,Manual,10361
744,Maruti Suzuki,2021,blue,sedan,5744,1st,5,petrol,5-Speed,Manual,8663
745,Maruti Suzuki,2019,silver,hatchback,18988,1st,5,petrol,5-Speed,Manual,6777
746,Maruti Suzuki,2019,grey,hatchback,18066,1st,5,petrol,5-Speed,Manual,4456
747,Maruti Suzuki,2014,silver,hatchback,74660,2nd,5,diesel,5-Speed,Manual,5855
748,Maruti Suzuki,2019,white,hatchback,32801,1st,5,petrol,5-Speed,Manual,8913
749,Maruti Suzuki,2018,white,sedan,46517,1st,5,petrol,5-Speed,Automatic,8501
750,Hyundai,2019,blue,suv,44781,1st,5,petrol,7-Speed,Manual,14036
751,Maruti Suzuki,2019,blue,muv,27409,1st,8,petrol,4-Speed,Manual,4293
752,Hyundai,2019,blue,hatchback,23505,1st,5,petrol,5-Speed,Automatic,9277
753,Maruti Suzuki,2021,red,hatchback,34872,1st,5,petrol,5-Speed,Manual,5584
754,Maruti Suzuki,2020,red,hatchback,7401,1st,5,petrol,5-Speed,Manual,4619
755,Hyundai,2014,orange,hatchback,51531,1st,5,petrol,4-Speed,Automatic,6518
756,Hyundai,2017,white,hatchback,40187,1st,5,petrol,5-Speed,Manual,4698
757,Renault,2017,bronze,suv,77127,2nd,5,diesel,5-Speed,Manual,9759
758,Ford,2017,grey,suv,31080,1st,5,diesel,5-Speed,Manual,11228
759,Maruti Suzuki,2019,blue,hatchback,28967,1st,5,petrol,5-Speed,Manual,8587
760,Hyundai,2017,white,suv,69302,1st,5,petrol,6-Speed,Manual,14915
761,Hyundai,2020,red,hatchback,14502,1st,5,petrol,5-Speed,Automatic,9265
762,Hyundai,2014,blue,hatchback,38213,1st,5,petrol,5-Speed,Manual,7650
763,Maruti Suzuki,2016,white,hatchback,54635,1st,5,petrol,5-Speed,Automatic,5215
764,Honda,2018,brown,sedan,32939,1st,5,petrol,5-Speed,Automatic,14277
765,Skoda,2012,beige,sedan,99495,1st,5,diesel,5-Speed,Manual,6175
766,Renault,2019,red,hatchback,23342,1st,5,petrol,5-Speed,Manual,5891
767,Hyundai,2020,black,sedan,32464,1st,5,petrol,7-Speed,Automatic,17518
768,Honda,2019,red,suv,30457,1st,5,diesel,6-Speed,Manual,12433
769,Toyota,2021,red,hatchback,6738,1st,5,petrol,5-Speed,Manual,11225
770,Toyota,2021,red,hatchback,6738,1st,5,petrol,5-Speed,Manual,11225
771,Toyota,2021,red,hatchback,6738,1st,5,petrol,5-Speed,Manual,11225
772,Toyota,2021,red,hatchback,6738,1st,5,petrol,5-Speed,Manual,11225
773,Honda,2020,brown,sedan,18402,1st,5,petrol,6-Speed,Manual,17000
774,Ford,2013,silver,suv,95381,1st,5,diesel,5-Speed,Manual,6734
775,Honda,2016,orange,hatchback,22856,1st,5,petrol,5-Speed,Manual,7530
776,Maruti Suzuki,2019,white,sedan,15251,2nd,5,petrol,4-Speed,Automatic,10832
777,Hyundai,2017,grey,hatchback,57394,1st,5,petrol,5-Speed,Manual,8156
778,Maruti Suzuki,2020,grey,muv,26856,1st,5,petrol,5-Speed,Manual,5367
779,Hyundai,2019,grey,sedan,9421,1st,5,petrol,5-Speed,Manual,9168
780,Maruti Suzuki,2016,blue,hatchback,56204,2nd,5,petrol,5-Speed,Manual,7015
781,Honda,2017,grey,sedan,16936,1st,5,petrol,5-Speed,Manual,10566
782,Maruti Suzuki,2021,silver,sedan,15443,1st,5,petrol,5-Speed,Manual,7959
783,Hyundai,2016,grey,hatchback,49826,1st,5,petrol,5-Speed,Manual,7963
784,Maruti Suzuki,2020,grey,hatchback,7140,1st,5,petrol,5-Speed,Manual,4836
785,Maruti Suzuki,2019,blue,hatchback,26533,1st,5,petrol,5-Speed,Manual,8826
786,Maruti Suzuki,2019,white,hatchback,15928,1st,5,petrol,5-Speed,Manual,4239
787,Hyundai,2021,grey,hatchback,14133,1st,5,petrol,6-Speed,Automatic,12457
788,Maruti Suzuki,2015,blue,hatchback,29978,2nd,5,petrol,5-Speed,Manual,3795
789,Maruti Suzuki,2018,grey,sedan,32454,1st,5,petrol,5-Speed,Automatic,8273
790,Maruti Suzuki,2012,beige,sedan,70628,1st,5,diesel,5-Speed,Manual,5280
791,Ford,2020,grey,hatchback,11762,1st,5,diesel,5-Speed,Manual,9481
792,Ford,2020,grey,hatchback,11762,1st,5,diesel,5-Speed,Manual,9481
793,Ford,2020,grey,hatchback,11762,1st,5,diesel,5-Speed,Manual,9481
794,Ford,2020,grey,hatchback,11762,1st,5,diesel,5-Speed,Manual,9481
795,Hyundai,2017,white,hatchback,18411,1st,5,petrol,5-Speed,Automatic,6337
796,Hyundai,2018,grey,hatchback,42101,1st,5,petrol,5-Speed,Automatic,6879
797,Toyota,2018,brown,sedan,73664,1st,5,petrol,5-Speed,Manual,13398
798,Toyota,2018,brown,sedan,73664,1st,5,petrol,5-Speed,Manual,13398
799,Toyota,2018,brown,sedan,73664,1st,5,petrol,5-Speed,Manual,13398
800,Toyota,2018,brown,sedan,73664,1st,5,petrol,5-Speed,Manual,13398
801,Maruti Suzuki,2016,brown,sedan,69045,1st,5,petrol,5-Speed,Manual,7579
802,Hyundai,2016,white,hatchback,25382,1st,5,petrol,5-Speed,Manual,8746
803,Hyundai,2015,red,sedan,68611,1st,5,petrol,5-Speed,Manual,6228
804,Hyundai,2016,white,hatchback,30045,2nd,5,petrol,4-Speed,Automatic,6903
805,Hyundai,2018,red,hatchback,11225,1st,5,petrol,5-Speed,Manual,5469
806,Renault,2015,silver,muv,73760,1st,8,diesel,6-Speed,Manual,7530
807,Ford,2019,blue,suv,67732,1st,5,diesel,5-Speed,Automatic,11506
808,Maruti Suzuki,2011,red,hatchback,67463,2nd,5,petrol,5-Speed,Manual,2971
809,Renault,2021,grey,suv,30322,1st,5,petrol,5-Speed,Automatic,11156
810,Maruti Suzuki,2019,white,hatchback,15878,2nd,5,petrol,5-Speed,Manual,5042
811,Volkswagen,2016,silver,hatchback,44885,1st,5,petrol,5-Speed,Manual,7987
812,Maruti Suzuki,2019,blue,hatchback,31171,1st,5,petrol,5-Speed,Manual,8804
813,Maruti Suzuki,2019,blue,hatchback,31171,1st,5,petrol,5-Speed,Manual,8804
814,Maruti Suzuki,2019,blue,hatchback,31171,1st,5,petrol,5-Speed,Manual,8804
815,Maruti Suzuki,2019,blue,hatchback,31171,1st,5,petrol,5-Speed,Manual,8804
816,Honda,2016,silver,sedan,43992,1st,5,petrol,5-Speed,Manual,10795
817,Maruti Suzuki,2020,silver,sedan,17050,1st,5,petrol,5-Speed,Manual,10604
818,Maruti Suzuki,2020,grey,hatchback,6470,1st,5,petrol,5-Speed,Manual,5866
819,Nissan,2022,brown,suv,3832,1st,5,petrol,5-Speed,Automatic,11992
820,Maruti Suzuki,2015,blue,hatchback,47060,1st,5,petrol,5-Speed,Automatic,5031
821,Hyundai,2020,blue,suv,37489,1st,5,petrol,6-Speed,Manual,11975
822,Hyundai,2020,grey,hatchback,30169,1st,5,petrol,5-Speed,Automatic,9746
823,Honda,2015,white,sedan,53600,2nd,5,petrol,5-Speed,Manual,6554
824,Maruti Suzuki,2013,silver,sedan,61796,1st,5,diesel,5-Speed,Manual,5833
825,Volkswagen,2016,brown,sedan,26094,1st,5,petrol,5-Speed,Automatic,7313
826,Maruti Suzuki,2016,brown,sedan,99144,1st,5,petrol,5-Speed,Automatic,8175
827,Hyundai,2017,white,sedan,49335,2nd,5,petrol,5-Speed,Manual,7445
828,Maruti Suzuki,2019,blue,hatchback,13197,1st,5,petrol,5-Speed,Manual,8826
829,Toyota,2011,silver,hatchback,50857,1st,5,petrol,5-Speed,Manual,5380
830,Hyundai,2019,blue,suv,12156,1st,5,petrol,6-Speed,Manual,12012
831,Hyundai,2017,white,hatchback,39525,2nd,5,petrol,5-Speed,Manual,6301
832,Maruti Suzuki,2019,red,hatchback,27951,1st,5,petrol,5-Speed,Manual,4608
833,Hyundai,2021,silver,hatchback,25975,1st,5,petrol,6-Speed,Automatic,12361
834,Hyundai,2011,grey,hatchback,89303,1st,5,petrol,5-Speed,Manual,4253
835,Maruti Suzuki,2015,silver,hatchback,24655,1st,5,petrol,5-Speed,Automatic,5313
836,Renault,2017,grey,suv,54260,2nd,5,diesel,5-Speed,Manual,10385
837,Maruti Suzuki,2017,grey,muv,39484,1st,5,petrol,5-Speed,Manual,4608
838,Hyundai,2015,grey,hatchback,32754,1st,5,petrol,5-Speed,Manual,6602
839,Hyundai,2014,orange,hatchback,66963,1st,5,petrol,5-Speed,Manual,5602
840,Hyundai,2018,beige,hatchback,33581,1st,5,petrol,5-Speed,Manual,6084
841,Mahindra,2017,white,suv,41060,1st,7,diesel,5-Speed,Manual,12643
842,Hyundai,2020,blue,suv,49130,1st,5,petrol,6-Speed,Manual,13240
843,Maruti Suzuki,2021,grey,hatchback,4773,1st,5,petrol,5-Speed,Manual,4977
844,Maruti Suzuki,2021,silver,muv,14560,1st,5,petrol,5-Speed,Manual,5486
845,Renault,2013,silver,suv,88547,1st,5,diesel,5-Speed,Manual,7445
846,Volkswagen,2016,brown,sedan,46922,2nd,5,petrol,5-Speed,Automatic,6554
847,Hyundai,2012,black,hatchback,64378,1st,5,petrol,5-Speed,Manual,4024
848,Maruti Suzuki,2018,blue,hatchback,41244,1st,5,petrol,5-Speed,Manual,8284
849,Maruti Suzuki,2011,black,hatchback,60256,2nd,5,petrol,5-Speed,Manual,2656
850,Ford,2011,green,hatchback,84494,2nd,5,petrol,5-Speed,Manual,3493
851,Maruti Suzuki,2018,blue,muv,58025,1st,7,diesel,5-Speed,Manual,11830
852,Hyundai,2015,white,sedan,89133,1st,5,petrol,5-Speed,Manual,5662
853,Renault,2019,white,hatchback,60983,1st,5,petrol,5-Speed,Manual,5180
854,Honda,2014,silver,sedan,61881,2nd,5,petrol,5-Speed,Manual,5180
855,Renault,2021,white,muv,32340,1st,7,petrol,5-Speed,Manual,9024
856,Hyundai,2017,silver,hatchback,37237,2nd,5,petrol,5-Speed,Automatic,6373
857,Maruti Suzuki,2017,grey,hatchback,64528,1st,5,diesel,5-Speed,Manual,7828
858,Datsun,2015,white,hatchback,73892,1st,5,petrol,5-Speed,Manual,3025
859,Maruti Suzuki,2015,grey,hatchback,68796,1st,5,petrol,5-Speed,Manual,6722
860,Mahindra,2015,silver,suv,40438,1st,7,diesel,6-Speed,Manual,12253
861,Hyundai,2020,red,suv,12699,1st,5,petrol,6-Speed,Manual,12566
862,Maruti Suzuki,2018,grey,hatchback,23745,1st,5,petrol,5-Speed,Manual,4348
863,Maruti Suzuki,2016,silver,muv,38717,1st,5,petrol,4-Speed,Manual,3632
864,Honda,2019,red,suv,73732,1st,5,diesel,6-Speed,Manual,11024
865,Renault,2021,red,hatchback,16742,1st,5,petrol,5-Speed,Automatic,6361
866,Honda,2017,brown,sedan,65581,3rd,5,petrol,5-Speed,Automatic,9457
867,Hyundai,2017,red,hatchback,39427,1st,5,petrol,5-Speed,Manual,8433
868,Maruti Suzuki,2014,white,hatchback,52004,1st,5,petrol,5-Speed,Automatic,4760
869,Maruti Suzuki,2013,red,hatchback,40545,1st,5,petrol,5-Speed,Manual,3459
870,Maruti Suzuki,2021,grey,hatchback,15836,1st,5,petrol,5-Speed,Manual,5638
871,Maruti Suzuki,2020,grey,muv,11212,1st,5,petrol,5-Speed,Manual,5410
872,Hyundai,2015,white,hatchback,52501,1st,5,petrol,5-Speed,Manual,7975
873,Renault,2021,red,suv,6052,1st,5,petrol,5-Speed,Automatic,11277
874,Maruti Suzuki,2018,blue,sedan,20326,1st,5,petrol,5-Speed,Automatic,7991
875,Toyota,2011,red,hatchback,50009,1st,5,petrol,5-Speed,Automatic,5818
876,Toyota,2011,red,hatchback,50009,1st,5,petrol,5-Speed,Automatic,5818
877,Toyota,2011,red,hatchback,50009,1st,5,petrol,5-Speed,Manual,5818
878,Toyota,2011,red,hatchback,50009,1st,5,petrol,5-Speed,Manual,5818
879,Maruti Suzuki,2021,grey,hatchback,15113,1st,5,petrol,5-Speed,Manual,5887
880,Hyundai,2014,white,sedan,50071,1st,5,petrol,5-Speed,Automatic,8301
881,Maruti Suzuki,2020,white,muv,9832,1st,5,petrol,5-Speed,Manual,5367
882,Ford,2018,grey,crossover,43273,1st,5,petrol,5-Speed,Automatic,7433
883,Maruti Suzuki,2014,silver,hatchback,44193,1st,5,petrol,5-Speed,Manual,5085
884,Hyundai,2017,red,sedan,36208,1st,5,petrol,4-Speed,Manual,8060
885,Hyundai,2017,red,sedan,36208,1st,5,petrol,4-Speed,Manual,8060
886,Hyundai,2017,red,sedan,36208,1st,5,petrol,4-Speed,Manual,8060
887,Hyundai,2017,red,sedan,36208,1st,5,petrol,4-Speed,Manual,8060
888,Hyundai,2017,brown,crossover,43613,1st,5,petrol,5-Speed,Automatic,9060
889,Honda,2018,brown,sedan,46006,1st,5,petrol,5-Speed,Automatic,13638
890,Hyundai,2018,brown,crossover,35015,2nd,5,petrol,5-Speed,Automatic,9156
891,Hyundai,2017,white,hatchback,55670,1st,5,petrol,5-Speed,Manual,4421
892,Hyundai,2018,silver,hatchback,38961,1st,5,petrol,5-Speed,Automatic,6843
893,Hyundai,2020,blue,sedan,41843,1st,5,petrol,5-Speed,Automatic,17445
894,Hyundai,2018,white,hatchback,13846,2nd,5,petrol,5-Speed,Automatic,6975
895,Maruti Suzuki,2019,orange,hatchback,16712,2nd,5,petrol,5-Speed,Manual,5150
896,Ford,2015,red,suv,92474,2nd,5,diesel,5-Speed,Manual,7650
897,Maruti Suzuki,2014,black,sedan,44815,1st,5,petrol,5-Speed,Manual,7015
898,Honda,2020,white,sedan,13209,1st,5,petrol,6-Speed,Manual,15831
899,Hyundai,2013,red,hatchback,48721,1st,5,petrol,5-Speed,Manual,3927
900,Mahindra,2015,blue,suv,41651,1st,7,diesel,5-Speed,Manual,12220
901,Hyundai,2019,blue,hatchback,8842,1st,5,petrol,5-Speed,Manual,6807
902,Volkswagen,2016,blue,sedan,64313,1st,5,petrol,5-Speed,Automatic,6662
903,Maruti Suzuki,2016,brown,suv,52220,1st,5,diesel,5-Speed,Automatic,9010
904,Ford,2019,red,sedan,10370,1st,5,petrol,5-Speed,Manual,9349
905,Honda,2016,brown,sedan,60656,1st,5,petrol,5-Speed,Manual,6421
906,Maruti Suzuki,2020,red,hatchback,12433,1st,5,petrol,5-Speed,Manual,4803
907,Volkswagen,2013,grey,hatchback,53735,1st,5,petrol,5-Speed,Manual,6313
908,Skoda,2014,red,sedan,46103,2nd,5,petrol,7-Speed,Automatic,17215
909,Maruti Suzuki,2019,red,hatchback,2174,1st,5,petrol,5-Speed,Manual,4554
910,Volkswagen,2012,silver,hatchback,64878,1st,5,petrol,5-Speed,Manual,5421
911,Hyundai,2017,red,suv,76978,1st,5,petrol,6-Speed,Manual,14602
912,Honda,2018,white,sedan,33454,1st,5,petrol,5-Speed,Manual,9301
913,Tata,2019,white,suv,19589,1st,5,diesel,6-Speed,Manual,18422
914,Maruti Suzuki,2021,silver,hatchback,17101,1st,5,petrol+cng,5-Speed,Manual,6636
915,Maruti Suzuki,2015,brown,muv,51844,1st,7,diesel,5-Speed,Manual,9878
916,Ford,2016,red,suv,91463,2nd,5,diesel,5-Speed,Manual,8518
917,Hyundai,2017,grey,suv,88895,2nd,5,diesel,6-Speed,Manual,13228
918,Chevrolet,2014,green,hatchback,45080,1st,5,petrol,5-Speed,Manual,3632
919,Volkswagen,2016,grey,sedan,81709,1st,5,petrol,5-Speed,Automatic,6566
920,Nissan,2015,silver,hatchback,48656,1st,5,petrol,5-Speed,Automatic,5150
921,Ford,2019,red,crossover,17504,1st,5,petrol,5-Speed,Automatic,8036
922,Tata,2013,blue,hatchback,33744,1st,4,petrol,4-Speed,Manual,2038
923,Hyundai,2019,blue,suv,18398,2nd,5,petrol,6-Speed,Manual,10927
924,Volkswagen,2017,brown,sedan,41757,1st,5,petrol,5-Speed,Automatic,7457
925,Hyundai,2015,red,crossover,41086,1st,5,diesel,6-Speed,Automatic,9012
926,Maruti Suzuki,2019,silver,hatchback,25418,1st,5,petrol,5-Speed,Manual,7926
927,Maruti Suzuki,2018,red,hatchback,23606,1st,5,petrol,5-Speed,Manual,4283
928,Renault,2020,red,muv,18798,1st,7,petrol,5-Speed,Manual,9132
929,Maruti Suzuki,2019,orange,hatchback,24105,1st,5,petrol,5-Speed,Manual,5367
930,Volkswagen,2018,silver,hatchback,26394,1st,5,petrol,5-Speed,Manual,8421
931,Hyundai,2017,silver,sedan,22538,2nd,5,petrol,4-Speed,Manual,7843
932,Hyundai,2017,silver,sedan,22538,2nd,5,petrol,4-Speed,Manual,7843
933,Hyundai,2017,silver,sedan,22538,2nd,5,petrol,4-Speed,Manual,7843
934,Hyundai,2017,silver,sedan,22538,2nd,5,petrol,4-Speed,Manual,7843
935,Hyundai,2012,red,hatchback,34060,1st,5,petrol,5-Speed,Manual,4000
936,Hyundai,2011,white,hatchback,46251,2nd,5,petrol,5-Speed,Manual,4469
937,Ford,2020,red,crossover,6886,1st,5,petrol,5-Speed,Automatic,9072
938,Hyundai,2020,white,suv,26020,1st,5,petrol,6-Speed,Manual,13457
939,Hyundai,2013,white,hatchback,33440,1st,5,petrol,5-Speed,Manual,3674
940,Ford,2019,grey,suv,11800,1st,5,petrol,5-Speed,Automatic,11385
941,MG Motors,2019,white,suv,7339,1st,5,petrol,6-Speed,Automatic,23842
942,Maruti Suzuki,2017,orange,hatchback,41465,2nd,5,petrol,5-Speed,Manual,7384
943,Maruti Suzuki,2013,grey,muv,67020,1st,7,petrol,5-Speed,Manual,7525
944,Maruti Suzuki,2014,white,muv,23885,1st,8,petrol,4-Speed,Manual,3556
945,Tata,2019,orange,suv,62300,1st,5,diesel,6-Speed,Manual,18271
946,Renault,2014,black,sedan,34080,1st,5,diesel,5-Speed,Manual,7554
947,Ford,2018,white,suv,78061,1st,5,petrol,6-Speed,Automatic,11265
948,Maruti Suzuki,2017,white,suv,28476,1st,5,diesel,5-Speed,Automatic,9867
949,Maruti Suzuki,2016,white,suv,38729,1st,5,diesel,5-Speed,Automatic,8783
950,Maruti Suzuki,2017,blue,hatchback,26203,1st,5,petrol,5-Speed,Automatic,7048
951,Tata,2018,red,suv,35730,1st,5,diesel,6-Speed,Automatic,10344
952,Maruti Suzuki,2018,grey,sedan,16491,1st,5,petrol,5-Speed,Automatic,8089
953,Hyundai,2018,brown,sedan,35623,2nd,5,petrol,6-Speed,Automatic,11602
954,Maruti Suzuki,2019,red,hatchback,15508,1st,5,petrol,5-Speed,Automatic,8501
955,Maruti Suzuki,2017,grey,sedan,34004,1st,5,petrol,5-Speed,Automatic,7883
956,Maruti Suzuki,2018,silver,suv,35042,1st,5,diesel,5-Speed,Automatic,11613
957,Hyundai,2018,orange,sedan,57046,1st,5,petrol,6-Speed,Automatic,10819
958,Hyundai,2019,white,sedan,22546,1st,5,petrol,6-Speed,Automatic,12530
959,Maruti Suzuki,2018,red,suv,31570,1st,5,diesel,5-Speed,Automatic,12491
960,Honda,2015,white,hatchback,49536,1st,5,petrol,5-Speed,Automatic,7180
961,Maruti Suzuki,2017,blue,suv,53719,1st,5,diesel,5-Speed,Automatic,9162
962,Maruti Suzuki,2021,red,hatchback,10303,1st,5,petrol,5-Speed,Automatic,8848
963,Maruti Suzuki,2020,red,hatchback,27437,1st,5,petrol,5-Speed,Automatic,8566
964,Renault,2018,brown,suv,6603,1st,5,petrol,5-Speed,Automatic,12807
965,Renault,2017,brown,suv,16556,2nd,5,petrol,5-Speed,Automatic,10096
966,Maruti Suzuki,2018,silver,hatchback,25626,1st,5,petrol,5-Speed,Automatic,7189
967,Maruti Suzuki,2021,blue,hatchback,9384,1st,5,petrol,5-Speed,Automatic,6397
968,Maruti Suzuki,2020,grey,hatchback,6104,1st,5,petrol,5-Speed,Automatic,9086
969,Maruti Suzuki,2019,grey,hatchback,21992,2nd,5,petrol,5-Speed,Automatic,8989
970,Renault,2018,orange,suv,54137,1st,5,petrol,5-Speed,Automatic,9626
971,Maruti Suzuki,2017,blue,sedan,33258,1st,5,petrol,5-Speed,Automatic,7828
972,Hyundai,2018,white,sedan,23869,1st,5,petrol,6-Speed,Automatic,11518
973,Hyundai,2019,white,sedan,14831,1st,5,petrol,6-Speed,Automatic,12373
974,Hyundai,2014,silver,sedan,52846,1st,5,petrol,4-Speed,Automatic,8867
975,Ford,2020,white,crossover,28335,2nd,5,diesel,5-Speed,Automatic,9024
976,Maruti Suzuki,2018,silver,hatchback,41176,1st,5,petrol,5-Speed,Automatic,7492
