unnamed:_0,make,make_year,color,body_type,mileage_run,no_of_owners,seating_capacity,fuel_type,transmission,transmission_type,price
202,Maruti Suzuki,2017,blue,hatchback,20894,1st,5,petrol,5-Speed,Manual,7709
203,Hyundai,2016,grey,suv,88735,2nd,5,diesel,6-Speed,Manual,13240
204,Hyundai,2016,grey,suv,88735,2nd,5,diesel,6-Speed,Manual,13240
205,Hyundai,2016,grey,suv,88735,2nd,5,diesel,6-Speed,Manual,13240
206,Hyundai,2016,grey,suv,88735,2nd,5,diesel,6-Speed,Manual,13240
207,Renault,2021,white,suv,9034,1st,5,petrol,5-Speed,Automatic,12987
208,Maruti Suzuki,2014,silver,hatchback,63746,3rd,5,petrol,5-Speed,Automatic,3773
209,Hyundai,2016,white,hatchback,85602,1st,5,petrol,5-Speed,Manual,7939
210,Hyundai,2013,purple,sedan,59054,2nd,5,petrol,5-Speed,Automatic,6036
211,Renault,2017,white,suv,50811,1st,5,diesel,6-Speed,Manual,12204
212,Kia,2020,silver,suv,38198,1st,5,petrol,7-Speed,Manual,20975
213,Maruti Suzuki,2018,silver,sedan,92118,1st,5,petrol,4-Speed,Manual,8989
214,Hyundai,2014,white,sedan,72801,1st,5,petrol,5-Speed,Manual,5975
215,Hyundai,2014,grey,hatchback,38592,2nd,5,petrol,5-Speed,Manual,3240
216,Honda,2019,brown,sedan,22379,1st,5,petrol,5-Speed,Manual,11168
217,Maruti Suzuki,2016,silver,hatchback,44822,2nd,5,petrol,5-Speed,Manual,4890
218,Renault,2021,white,hatchback,13069,1st,5,petrol,5-Speed,Automatic,6409
219,Maruti Suzuki,2011,brown,hatchback,96939,1st,5,petrol,5-Speed,Manual,3665
220,Mahindra,2015,silver,suv,71397,2nd,7,diesel,6-Speed,Manual,11190
221,Hyundai,2019,beige,hatchback,21903,1st,5,petrol,5-Speed,Manual,6710
222,Hyundai,2020,grey,hatchback,9468,1st,5,petrol,5-Speed,Automatic,7867
223,Honda,2018,brown,sedan,60209,1st,5,petrol,5-Speed,Manual,10819
224,Renault,2016,orange,suv,69658,1st,5,diesel,6-Speed,Manual,10987
225,Hyundai,2015,white,hatchback,81103,1st,5,diesel,6-Speed,Manual,7734
226,Renault,2020,blue,muv,57503,1st,7,petrol,5-Speed,Manual,7843
227,Maruti Suzuki,2018,silver,hatchback,45560,1st,5,petrol,5-Speed,Automatic,5454
228,Maruti Suzuki,2012,silver,hatchback,45008,2nd,5,petrol,4-Speed,Automatic,3578
229,Maruti Suzuki,2011,grey,hatchback,51210,2nd,5,petrol,5-Speed,Manual,4283
230,Hyundai,2017,silver,suv,44894,1st,5,diesel,6-Speed,Manual,14879
231,Maruti Suzuki,2015,white,suv,39515,1st,5,diesel,5-Speed,Automatic,8761
232,Hyundai,2015,silver,hatchback,54287,1st,5,petrol,5-Speed,Manual,5518
233,Hyundai,2013,white,sedan,91039,1st,5,petrol,5-Speed,Automatic,6192
234,Honda,2015,grey,sedan,49435,1st,5,petrol,5-Speed,Manual,6168
235,Skoda,2019,black,sedan,9686,1st,5,petrol,7-Speed,Automatic,38977
